Date,Open,High,Low,Close,Adj Close,Volume
2018-02-06,12232.860352,12550.160156,12232.860352,12392.660156,12392.660156,204856800
2018-02-07,12478.679688,12651.280273,12414.839844,12590.429688,12590.429688,153471100
2018-02-08,12506.179688,12541.320313,12187.450195,12260.290039,12260.290039,153991900
2018-02-09,12263.099609,12296.179688,12003.360352,12107.480469,12107.480469,175812900
2018-02-12,12238.629883,12379.160156,12222.339844,12282.769531,12282.769531,120024900
2018-02-13,12282.759766,12300.629883,12196.219727,12196.500000,12196.500000,94601100
2018-02-14,12294.849609,12393.709961,12075.209961,12339.160156,12339.160156,130713000
2018-02-15,12425.450195,12479.969727,12275.040039,12346.169922,12346.169922,111934900
2018-02-16,12408.480469,12484.120117,12368.709961,12451.959961,12451.959961,104230500
2018-02-19,12495.070313,12505.490234,12361.860352,12385.599609,12385.599609,66917000
2018-02-20,12403.629883,12496.099609,12333.790039,12487.900391,12487.900391,87127600
2018-02-21,12457.219727,12474.370117,12372.259766,12470.490234,12470.490234,83382600
2018-02-22,12358.820313,12497.709961,12283.700195,12461.910156,12461.910156,104173000
2018-02-23,12491.769531,12513.320313,12431.940430,12483.790039,12483.790039,97926500
2018-02-26,12566.049805,12601.459961,12484.589844,12527.040039,12527.040039,78303000
2018-02-27,12573.650391,12577.559570,12436.129883,12490.730469,12490.730469,89864600
2018-02-28,12427.459961,12516.919922,12417.959961,12435.849609,12435.849609,93391300
2018-03-01,12386.400391,12387.879883,12143.139648,12190.940430,12190.940430,113680600
2018-03-02,12051.889648,12081.400391,11877.660156,11913.709961,11913.709961,120480800
2018-03-05,11831.570313,12110.179688,11830.980469,12090.870117,12090.870117,109920600
2018-03-06,12229.290039,12259.580078,12110.339844,12113.870117,12113.870117,104517000
2018-03-07,12060.089844,12275.690430,12020.610352,12245.360352,12245.360352,92920300
2018-03-08,12237.940430,12382.690430,12177.120117,12355.570313,12355.570313,97759800
2018-03-09,12331.639648,12407.980469,12284.570313,12346.679688,12346.679688,96109700
2018-03-12,12453.299805,12454.959961,12361.009766,12418.389648,12418.389648,136801400
2018-03-13,12425.690430,12459.900391,12162.469727,12221.030273,12221.030273,131887900
2018-03-14,12212.490234,12322.889648,12202.759766,12237.740234,12237.740234,104202200
2018-03-15,12284.139648,12378.389648,12239.959961,12345.559570,12345.559570,106658200
2018-03-16,12345.559570,12454.019531,12337.620117,12389.580078,12389.580078,212840100
2018-03-19,12346.509766,12369.769531,12183.790039,12217.019531,12217.019531,97309700
2018-03-20,12261.190430,12320.000000,12191.549805,12307.330078,12307.330078,72907500
2018-03-21,12336.759766,12344.089844,12250.370117,12309.150391,12309.150391,108917200
2018-03-22,12187.730469,12267.169922,12009.500000,12100.080078,12100.080078,138428600
2018-03-23,11995.509766,12001.780273,11818.700195,11886.309570,11886.309570,145617800
2018-03-26,11919.639648,11984.500000,11726.620117,11787.259766,11787.259766,99857900
2018-03-27,11996.349609,12042.780273,11927.910156,11970.830078,11970.830078,98677800
2018-03-28,11868.080078,11961.160156,11770.400391,11940.709961,11940.709961,113396700
2018-03-29,11956.339844,12151.309570,11942.280273,12096.730469,12096.730469,111589200
2018-04-03,11997.469727,12069.480469,11913.620117,12002.450195,12002.450195,95226700
2018-04-04,12000.469727,12011.120117,11792.349609,11957.900391,11957.900391,107305000
2018-04-05,12153.610352,12322.370117,12135.639648,12305.190430,12305.190430,109092300
2018-04-06,12242.940430,12290.030273,12202.049805,12241.269531,12241.269531,87009100
2018-04-09,12311.019531,12371.110352,12205.389648,12261.750000,12261.750000,77287300
2018-04-10,12389.900391,12428.900391,12334.950195,12397.320313,12397.320313,99355700
2018-04-11,12372.070313,12381.530273,12256.589844,12293.969727,12293.969727,98812700
2018-04-12,12282.389648,12434.240234,12263.700195,12415.009766,12415.009766,82053600
2018-04-13,12461.309570,12523.969727,12411.650391,12442.400391,12442.400391,76693800
2018-04-16,12478.990234,12487.040039,12375.629883,12391.410156,12391.410156,62656800
2018-04-17,12443.200195,12614.250000,12417.259766,12585.570313,12585.570313,85350700
2018-04-18,12597.580078,12640.250000,12548.450195,12590.830078,12590.830078,83029000
2018-04-19,12595.610352,12595.610352,12534.629883,12567.419922,12567.419922,70668500
2018-04-20,12555.959961,12585.370117,12490.769531,12540.500000,12540.500000,111680200
2018-04-23,12538.160156,12588.230469,12466.469727,12572.389648,12572.389648,78154600
2018-04-24,12602.410156,12647.160156,12481.299805,12550.820313,12550.820313,106073600
2018-04-25,12456.820313,12484.780273,12312.269531,12422.299805,12422.299805,108576800
2018-04-26,12395.900391,12503.219727,12383.950195,12500.469727,12500.469727,119856800
2018-04-27,12572.719727,12627.709961,12518.030273,12580.870117,12580.870117,0
2018-04-30,12606.269531,12622.929688,12563.740234,12612.110352,12612.110352,96521000
2018-05-02,12610.780273,12827.540039,12605.379883,12802.250000,12802.250000,110911800
2018-05-03,12775.660156,12798.160156,12665.330078,12690.150391,12690.150391,98817100
2018-05-04,12733.190430,12819.599609,12707.860352,12819.599609,12819.599609,99070000
2018-05-07,12827.429688,12961.049805,12813.549805,12948.139648,12948.139648,64800000
2018-05-08,12924.230469,12933.669922,12855.089844,12912.209961,12912.209961,95587900
2018-05-09,12917.820313,12962.519531,12890.379883,12943.059570,12943.059570,102677600
2018-05-10,12975.089844,13034.209961,12928.509766,13022.870117,13022.870117,72155400
2018-05-11,13023.000000,13033.299805,12964.000000,13001.240234,13001.240234,83673800
2018-05-14,13009.830078,13015.099609,12927.240234,12977.709961,12977.709961,77168000
2018-05-15,12947.969727,13006.339844,12918.290039,12970.040039,12970.040039,106592400
2018-05-16,12983.490234,13030.759766,12960.530273,12996.330078,12996.330078,104171700
2018-05-17,12985.139648,13114.629883,12981.889648,13114.610352,13114.610352,92016400
2018-05-18,13115.629883,13133.190430,13051.129883,13077.719727,13077.719727,124262900
2018-05-21,null,null,null,null,null,null
2018-05-22,13132.559570,13204.309570,13061.769531,13169.919922,13169.919922,109116500
2018-05-23,13138.830078,13148.049805,12929.900391,12976.839844,12976.839844,105439100
2018-05-24,12955.940430,13006.440430,12801.820313,12855.089844,12855.089844,143763000
2018-05-25,12917.150391,13002.469727,12852.169922,12938.009766,12938.009766,104044700
2018-05-28,13016.549805,13040.629883,12828.259766,12863.459961,12863.459961,69766800
2018-05-29,12786.150391,12803.290039,12608.700195,12666.509766,12666.509766,153964500
2018-05-30,12693.330078,12783.759766,12663.370117,12783.759766,12783.759766,122609400
2018-05-31,12796.160156,12803.599609,12547.610352,12604.889648,12604.889648,184309000
2018-06-01,12678.070313,12800.450195,12660.790039,12724.269531,12724.269531,123414600
2018-06-04,12839.440430,12846.259766,12714.030273,12770.750000,12770.750000,84511600
2018-06-05,12766.160156,12925.240234,12753.299805,12787.129883,12787.129883,107898300
2018-06-06,12813.389648,12872.900391,12729.230469,12830.070313,12830.070313,106976800
2018-06-07,12877.849609,12914.849609,12760.540039,12811.049805,12811.049805,94068000
2018-06-08,12668.769531,12795.639648,12610.679688,12766.549805,12766.549805,115025300
2018-06-11,12816.320313,12861.950195,12751.660156,12842.910156,12842.910156,108719300
2018-06-12,12924.030273,12948.519531,12816.070313,12842.299805,12842.299805,100645600
2018-06-13,12857.160156,12905.669922,12781.230469,12890.580078,12890.580078,105696700
2018-06-14,12806.070313,13135.969727,12800.660156,13107.099609,13107.099609,136091200
2018-06-15,13115.849609,13170.049805,13010.540039,13010.549805,13010.549805,257670500
2018-06-18,12945.530273,12982.919922,12784.480469,12834.110352,12834.110352,89102600
2018-06-19,12647.070313,12708.709961,12594.509766,12677.969727,12677.969727,102502200
2018-06-20,12731.660156,12760.200195,12670.780273,12695.160156,12695.160156,89617400
2018-06-21,12699.709961,12719.450195,12472.980469,12511.910156,12511.910156,111154800
2018-06-22,12507.719727,12579.719727,12486.259766,12579.719727,12579.719727,83725600
2018-06-25,12497.480469,12518.889648,12270.330078,12270.330078,12270.330078,98566500
2018-06-26,12333.440430,12355.860352,12188.500000,12234.339844,12234.339844,62457100
2018-06-27,12247.750000,12439.910156,12124.870117,12348.610352,12348.610352,127889100
2018-06-28,12289.809570,12375.370117,12104.410156,12177.230469,12177.230469,107207500
2018-06-29,12322.639648,12382.870117,12260.910156,12306.000000,12306.000000,114043400
2018-07-02,12147.940430,12301.929688,12132.719727,12238.169922,12238.169922,93436600
2018-07-03,12321.070313,12428.139648,12278.389648,12349.139648,12349.139648,93526400
2018-07-04,12323.750000,12350.679688,12284.559570,12317.610352,12317.610352,78417600
2018-07-05,12363.049805,12516.509766,12361.860352,12464.290039,12464.290039,114460400
2018-07-06,12506.269531,12508.080078,12426.400391,12496.169922,12496.169922,0
2018-07-09,12541.740234,12559.969727,12490.400391,12543.889648,12543.889648,74724300
2018-07-10,12580.309570,12639.790039,12530.709961,12609.849609,12609.849609,81853500
2018-07-11,12506.990234,12514.750000,12398.469727,12417.129883,12417.129883,84350300
2018-07-12,12464.059570,12505.200195,12408.629883,12492.969727,12492.969727,72314800
2018-07-13,12549.230469,12583.790039,12499.299805,12540.730469,12540.730469,0
2018-07-16,12530.980469,12604.240234,12506.990234,12561.019531,12561.019531,97107500
2018-07-17,12566.969727,12688.500000,12522.049805,12661.540039,12661.540039,91976300
2018-07-18,12728.410156,12778.959961,12715.519531,12765.940430,12765.940430,87635000
2018-07-19,12740.679688,12759.419922,12658.370117,12686.290039,12686.290039,75493900
2018-07-20,12664.450195,12706.839844,12469.500000,12561.419922,12561.419922,106490300
2018-07-23,12510.230469,12565.120117,12489.330078,12548.570313,12548.570313,65205400
2018-07-24,12590.790039,12755.269531,12585.910156,12689.389648,12689.389648,90068800
